-- Localization for Scrapworks
RM_e194dc3a-52dc-4bff-b922-08704341c338 = "VHS: Scrapworks E1"
RM_259a7ceb-0971-4ed5-8535-a4abf319a864 = "Scrapworks"
RM_886cec7a-d924-4136-a2d2-a05934adb4e0 = "Episode 1: Basic Metalworking"
RM_1fda5e0e-72c1-4856-bf2e-5a6210e2b3d9 = "Wham-O! Welcome to Scrapworks!"
RM_09e6a2d7-4b0e-4b1e-bcf6-15393948fa12 = "Let's start with the basics of metal working."
RM_e3a63b17-6c98-420e-bc3e-6d883912541f = "*Propane torch ignites*"
RM_95c1d5a7-0293-4eae-bb5f-6e01635ff12e = "Everything metal can be disassembled."
RM_1421d1cd-1a45-4d3e-b7ef-7b4818f3c2e9 = "Take this microwave for instance, let's break it down!"
RM_b0ec9b6f-d8a3-4f1f-a451-9d8d8d7e6f2b = "Don't forget to always wear protective gear!"
RM_7e7b3d98-62e9-4a53-afa4-6d890fd9726b = "Take your torch and..."
RM_1fe2f8e6-4b2c-4d1f-8d5d-7f1c84d4e87a = "*Welding noises*"
RM_fab2cba3-8fb2-4d4f-991a-7d5e9c3c5bc7 = "Wham-O! There you have it ladies."
RM_4a9f8d0a-5b2f-4eb8-9d2e-2e5e512c0ac7 = "Now you might be wondering..."
RM_847c8b2f-453f-4d7e-8f52-6a947b7e93b9 = "What do I do with this scrap?"
RM_9d8f9a1f-238c-4b7f-8d9a-9c3f0e8d9f23 = "Well, the real question is, what can't you do?"
RM_73f9a0a9-652f-4d9c-9e7e-1d2e7b2d1c30 = "Take a look at this door..."
RM_c5a3a0d2-8f7e-4e8c-8c8f-9d5b8b2f8c8a = "Anyone can walk through it."
RM_3e8f7e6d-8b2c-4e8c-8d9e-7e8c8e9d8b3a = "But what if Yakuza gang members are after you?"
RM_5a7e6d3f-8c7b-4e8d-8a7b-7e8c8e9d7c2a = "Take your torch and metal sheet and..."
RM_7c8e9d5f-8c7b-4e8e-8d9a-7d8c8f7e9d5b = "This also works on windows!"
RM_9f8d8c7a-9c8e-4e8e-8d9e-9d8e8e8d9d8c = "There, nothing is getting in or out"
RM_af7e9d8b-9c7e-4e8f-8d9c-7e8e9e8d9c7d = "Tune in next week folks!"
RM_bf8e9d7c-9c8e-4e9e-8d9e-8e9d8e8d9e8f = "How do I get out of here?"
RM_cf9e8d6e-9c7e-4e8e-8d9d-9d8e9d8e8f7c = "[img=music] Scrap... works! [img=music]"

RM_d786ab7a-95d1-4d6a-bd30-d18c4f9b8de8 = "VHS: Scrapworks E2"
RM_d2896f0f-08b0-4b82-85cc-4fca68ecf3a5 = "Episode 2: Metal Fencing and Reinforcement"
RM_b291f407-f3a0-438f-83f5-45c1943e63bc = "We're startin' with the basics of metalworking."
RM_cdbd9834-5332-4a2d-9959-2c3d957b8cd5 = "The kind of stuff that keeps the Yakuza out."
RM_9cfdabe3-6ef9-43e3-b58f-1bd4e3b9da67 = "You like sturdy fences? I like sturdy fences."
RM_6d5db564-d155-4c88-bd33-5e0a31b42985 = "Take a three metal pipes and a torch..."
RM_bec8fa9a-8314-4c62-836f-1659409d58cc = "Looks kinda nice like that, huh?"
RM_6d618cdc-b015-4887-8c99-18d2ffef6bdf = "Know what else is good for practice?"
RM_a6b155d3-5393-41b9-a577-4f4b9dbfed36 = "A strong gate. Build it tough."
RM_4adfef62-3b14-49c6-bc72-dc50d4f6f5b2 = "Three Metal pipes, two scrap metal and two hinges, Go!"
RM_c1167a57-67bb-4bb8-88ec-3c8267b16b72 = "Wham-O! Keep those dang Yakuza at bay, maybe?"
RM_48f4d6b9-ae70-4c36-a8c6-d591529a42f0 = "Like that? Reinforce it even more!"
RM_f0c54c45-93d7-4e36-a87b-3e0df7a0dd7c = "Tomorrow we're takin' off the training wheels."
RM_8accc4e7-eac1-4d02-b3a9-4c6f0e37b9d4 = "Metal walls, here we come!"

RM_a8c6d01e-5e6b-4d1a-8e9e-8c7f7e9a6d5b = "VHS: Scrapworks E3"
RM_c5a7a9e1-5a74-43f1-9f1f-01a19c3d7a1b = "Episode 3: Walls and Flooring"
RM_83f6d9c2-9a7e-49a7-9a8e-d7f78c9e1a6d = "Intermediate metalworking! Wham-O!"
RM_d3e6b8f7-7a9f-4f8e-9b6f-c1d8e6a9c7a5 = "Tired of weak wooden walls?"
RM_8fd7c7f8-5a8e-4a8f-9c7f-1c7e6d8f9a6b = "You need strong walls, metal ones. But first you need a solid frame!"
RM_c5d7e8f9-7b6e-4f9e-9c8f-9f7e6d8f7a5b = "Three metal bars, some welding, a bit of elbow grease..."
RM_b4c7d8e9-8f6e-4e9e-9b7f-8f7e6d9e8c7a = "Now for the reinforcement itself. three metal sheets and that torch!"
RM_e7b8c9d6-9f6e-4b8f-9a7e-8f7e6d9e7c8f = "Neat huh?"
RM_7e8d9f7c-8a9e-4c8e-9d7e-9f7e6d9e8c7b = "Now floors and ceilings? That's the end game!"
RM_6f8e7d9c-9b6e-4e9e-9c8e-8f7e6d9e8c6a = "Get yourself one small metal sheet and some scrap metal..."
RM_c4d7e9f6-7b8e-4e9e-9c8e-9f7e6d8f7c6b = "And just like that no rain is getting in."
RM_d5c6e9f7-8b7e-4e9e-9c8e-8f7e6d9e8c6a = "Don't forget to protect those eyes folks."
RM_a3d7e8f9-8b6e-4e9e-9c7f-7f7e6d8f9c7a = "Same thing for floors lets go!"
RM_b4e8f9c7-9a6e-4e8e-9b7f-9f7e6d9e8c6a = "Wham-O!"
RM_c8d7e9f6-8b7e-4e9e-9c8e-7f7e6d8f9b7c = "Most fun I had recently with my gear on!"
RM_d7b8e9c6-9a7e-4e9e-9c8e-8f7e6d9e8c7b = "Next time we'll furnish our little room"
RM_b4d7e8f9-9a7e-4e9e-9c8e-8f7e6d9e8c7a = "Stay safe from the Yakuza ya'll"
RM_c6e7f8d9-8a6e-4e8e-9c7e-9f7e6d8e9c6a = "Metal shelving next week! Don't miss it!"

RM_b7c8a9f5-7e3b-4b2a-8e7a-5d9f7e8a6b5c = "VHS: Scrapworks E4"
RM_8a6c7d5e-6f4b-49a5-9e7a-8f9b7e6d5a7c = "Episode 4: Shelving and Storage"
RM_3e7a9c8d-6f5b-4a7d-9e8a-5d9b7e8a6c7f = "We're at an intermediate level still and..."
RM_9b7e8c6d-5a4f-4b8a-9d7e-8f9a7e6d5b8c = "... sorry folks but safety first, the welding mask stays on."
RM_1c8d7e5a-7f6b-4e9a-9d8e-9f7a7e6d5c8b = "Hey, daytime TV and all that. Not my call."
RM_7d6e5c9f-5b4a-4a7e-9c8d-6f9b8e7a7c5d = "Today's episode is all about shelving and storage."
RM_8f7a6d9c-4b5e-4a8f-9d7e-7f8e6c5d4b7a = "Let's get started!"
